Topic,1980 to 1980,1981 to 1981,1982 to 1982,1983 to 1983,1984 to 1984,1985 to 1985,1986 to 1986,1987 to 1987,1988 to 1988,1989 to 1989,1990 to 1990,1991 to 1991,1992 to 1992,1993 to 1993,1994 to 1994,1995 to 1995,1996 to 1996,1997 to 1997,1998 to 1998,1999 to 1999,2000 to 2000,2001 to 2001,2002 to 2002,2003 to 2003,2004 to 2004,2005 to 2005,2006 to 2006,2007 to 2007,2008 to 2008,2009 to 2009,2010 to 2010,2011 to 2011,2012 to 2012,2013 to 2013,2014 to 2014,2015 to 2015,2016 to 2016,2017 to 2017,2018 to 2018,2019 to 2019
20,0.4904995641125027,0.19324096552969913,0.6634455468920235,0.3892026883421792,1.0830972196929949,1.865730353864027,2.2721809743159382,2.714113441032216,2.154336327613135,3.4565209031294035,4.734982679773933,3.6598648134951977,3.2450401305036576,2.8088343504200153,4.395008514324882,8.53095111000517,6.957180436643379,10.691795025841555,9.732212627032714,6.753589243674222,23.056661291162083,11.127357873069707,11.182964875422682,10.212148747189499,13.763918430930659,39.139451292978165,15.152430251381315,16.865328009625358,15.92825664806529,16.278120256482296,38.656334698609285,21.101517602824178,23.99626787897736,27.479491531004008,47.675496231591126,27.99494516387914,29.473726516023696,53.034671958313844,30.973041648648152,18.23642688420505
21,0.6904735419057928,0.636846780868667,0.7169631723735761,0.4114916789172199,2.212529589783703,3.2465549892812398,4.4505333345789895,4.275153730134032,4.068166046991508,5.515782969531544,11.314932775318011,7.045177631867813,4.764653665403327,5.71684204671462,5.207233222194543,8.553345340858375,7.031342479608351,7.064167852301777,8.732892555348952,9.365799566482625,19.5460933952438,4.7042636937420355,6.86062022001784,6.025412426556292,7.831756719105244,14.551623393861325,5.824963363062002,7.220676648932177,9.023740087876794,12.20415948071793,18.679685396972854,22.9980447467088,14.713494028339218,13.540871898885932,18.531221349855432,9.796199208905541,10.729410611287923,14.79223285875392,15.557783391811158,7.46805102841883
22,0.8757808980958746,0.26194290432247364,0.7343481379746697,0.9010896123547313,1.2702060309108345,2.1811624594781494,1.9218778179207738,1.5253763127253006,2.354815564619313,3.3616775634317047,3.5021203609662566,3.5727654266097035,2.8426302152455967,3.0542607174165814,7.335804932843484,6.410352302345172,7.640773125611785,6.692510192067441,9.269266436931032,8.288111918575753,14.36984114855646,10.140882717291959,6.549371306188063,12.92689437358979,11.158496670217607,17.823599406117577,12.606544849382361,16.937139957746734,12.562848420813216,21.613749703725933,50.698076989510156,23.731070577440306,28.006766724476932,26.926499197396886,59.71986240424199,21.358717232614957,22.462712495585887,41.24912987051134,28.232689192428545,14.933814549756644
23,0.6933217481500547,0.8893129466531682,0.8039919593338252,1.324473464434237,3.0455415216169373,3.536653439712823,3.0003958206126655,2.649599928239757,2.960333363894778,5.61982811696078,6.922705832620621,4.48474475302674,7.907088889890623,4.650794126124017,7.582704755955921,9.17659491802942,10.120442134239205,11.394995783343697,12.634821840048483,13.674011771420508,29.963682595546107,9.116545875633403,13.667702564774343,12.889776254236246,13.913336824156568,23.514181819589144,15.462208796092618,17.395002174603572,17.2538793982872,18.78067380040338,44.39975418249453,24.058151942699986,31.946693428018854,34.829495370832035,68.62657558939493,39.67721425863197,38.681416382797366,79.28868921788539,43.81191139730058,26.44276207032162
24,0.644188979720071,1.0779003701867915,1.1833587962170753,1.8924358981651057,3.8389464107992186,6.52513074209175,7.047551340350768,5.584468953002812,5.475963215873162,6.3185824408688775,11.67489098219243,2.7615570219324765,3.636317162782398,3.4960483244188945,4.924519166171045,3.1105710583576096,2.642494884792317,4.921822076225116,4.457681024519342,3.813246497567558,10.057059673221177,2.2571271260790464,2.1041538803756685,4.455074034112393,3.7508287302581187,10.94538268698331,8.07152925989918,7.857215764048621,7.684279104776337,9.241418363849672,31.518435162006156,11.215463137235442,12.836278606873824,12.845378939706222,35.39533167590835,10.554718910696812,17.689655856181155,19.483965726908924,13.014891172077443,11.710292663616105
25,3.8985543042771735,1.0664986650691264,1.8697050675286164,2.156677763176482,2.8387774023125023,4.01024072253767,3.489117032719406,5.410876122733473,3.5710781831276126,4.013303270301639,15.353537478549168,6.175033000907125,7.258531779068123,6.675508552132744,9.78708755193574,15.714830737102558,7.200072970731752,9.947210788594775,14.907950134101467,5.387030009727589,16.27971528845766,7.543296815855084,7.382275147733538,5.454669204426746,6.705136803622007,9.94222741167509,3.2008987255294317,5.313450798566502,6.611881941810069,5.517153700765499,10.821114716575805,5.978488838245326,5.585281860127429,4.5735647641560435,9.128965357219625,6.0041972963050885,4.735192676503803,9.291112911320827,6.732819685471643,8.369562357694592
26,0.4787664836700529,0.2791822751837599,0.15129052743980786,0.5041649421409948,2.229604135281769,2.2814248760227933,2.9267813821469972,3.596604015564112,4.304553233084233,4.948675877600145,6.917228540949258,4.505599494293534,4.708391417908496,4.219685841454875,6.70355668436907,5.161879484719916,7.493694284932893,7.313451649468336,6.309012028616371,6.71342991572589,27.466952904569688,10.28021472872638,10.682719114848314,10.865239641900297,8.879292230294178,21.68538428711397,11.783932803311892,13.328095317836175,8.416788904070687,16.54961244755603,33.64950017023732,15.713198784665089,27.05054378352044,15.159677167294094,34.7783431772425,16.12882112505409,19.268334784269626,28.321922272498043,16.69466293545871,11.747551625505231
27,2.2010813438492374,1.932359320029152,1.8312406580105611,2.925895352839904,3.3188280254761424,8.392231598175472,7.221574621707853,6.2276591363611145,3.928957489727802,7.378501189144313,14.434050412651382,8.25295357915696,6.493772415959834,5.95994300541008,8.53196410064942,10.01650146165468,8.6345298141373,7.348910693373222,7.511334527118749,7.159692363071955,18.110540039301682,6.434506396965106,4.085719972141921,6.807523293637536,5.163433575001356,12.675913759279743,6.662445351738793,7.5770693172945665,7.831542438743062,8.280354698250349,20.65971839025946,10.443372814723672,9.597058233976993,9.831592655640009,12.097776190732112,7.349103870840664,7.710841696531964,18.887479323743232,10.084109651076147,8.673467130960766
28,1.2489279994454872,1.308773269595427,2.3786526945792255,0.5613346233533902,3.4615624238725005,4.212409121091068,3.4508270047548857,3.9252144728301808,4.642180014653398,4.189108958805053,5.787749271087534,4.162494291250763,6.767630756996626,3.9320754985941435,5.107983274964183,3.7812276528968356,4.914450637085859,3.5781313267447015,7.824029927294376,6.992834043434408,13.43116855732229,3.9189841671176837,4.920304494861836,6.358178451395173,6.799345237923674,17.50530624788193,8.271988605301525,6.765615552190956,5.414915422943859,7.201861592834254,19.10542784316251,10.027264526156841,10.05771688467747,11.71581948427338,21.214629210608948,20.030191940226015,17.35273322679777,33.38233213172226,14.939847180914317,7.997170649561468
29,0.9791128063451388,1.2865843322465276,1.4742519585684515,2.516848823376132,3.6508492255696936,3.455280357888341,4.755340631505399,2.6469550404219575,3.5031903818153887,4.012171595430727,12.144732677183676,3.5162210713494177,2.622887390375123,3.997513522908032,4.0159914729013,4.811973067179575,6.553114046678913,9.184163195473724,8.709348069844458,10.65652254038446,23.580847026225317,10.551812399651688,8.942225250075186,6.4990839581845705,9.840758678605322,16.39761067760069,10.521902580634112,9.93260686984383,9.157498872974376,12.172160927894854,35.54936885104311,15.41395901127396,20.89112180052204,17.26323031990519,37.51678982944845,19.74198795693375,21.43727711334489,42.782318846627774,24.587232155448678,20.256066286818907
